"","Year","County.of.Study","County.of.Origin","value"
"211","2000","Carlow","Carlow",336
"212","2001","Carlow","Carlow",420
"213","2002","Carlow","Carlow",434
"214","2003","Carlow","Carlow",353
"215","2004","Carlow","Carlow",411
"216","2005","Carlow","Carlow",416
"217","2006","Carlow","Carlow",523
"218","2007","Carlow","Carlow",573
"219","2008","Carlow","Carlow",654
"220","2009","Carlow","Carlow",689
"221","2010","Carlow","Carlow",747
"222","2011","Carlow","Carlow",743
"223","2012","Carlow","Carlow",648
"224","2013","Carlow","Carlow",650
"225","2000","Dublin","Carlow",581
"226","2001","Dublin","Carlow",604
"227","2002","Dublin","Carlow",602
"228","2003","Dublin","Carlow",599
"229","2004","Dublin","Carlow",597
"230","2005","Dublin","Carlow",707
"231","2006","Dublin","Carlow",596
"232","2007","Dublin","Carlow",567
"233","2008","Dublin","Carlow",566
"234","2009","Dublin","Carlow",586
"235","2010","Dublin","Carlow",672
"236","2011","Dublin","Carlow",714
"237","2012","Dublin","Carlow",724
"238","2013","Dublin","Carlow",703
"239","2000","Kildare","Carlow",75
"240","2001","Kildare","Carlow",82
"241","2002","Kildare","Carlow",98
"242","2003","Kildare","Carlow",106
"243","2004","Kildare","Carlow",109
"244","2005","Kildare","Carlow",111
"245","2006","Kildare","Carlow",110
"246","2007","Kildare","Carlow",105
"247","2008","Kildare","Carlow",84
"248","2009","Kildare","Carlow",82
"249","2010","Kildare","Carlow",108
"250","2011","Kildare","Carlow",124
"251","2012","Kildare","Carlow",125
"252","2013","Kildare","Carlow",124
"253","2000","Louth","Carlow",6
"254","2001","Louth","Carlow",6
"255","2002","Louth","Carlow",8
"256","2003","Louth","Carlow",11
"257","2004","Louth","Carlow",11
"258","2005","Louth","Carlow",6
"259","2006","Louth","Carlow",7
"260","2007","Louth","Carlow",6
"261","2008","Louth","Carlow",7
"262","2009","Louth","Carlow",8
"263","2010","Louth","Carlow",11
"264","2011","Louth","Carlow",11
"265","2012","Louth","Carlow",10
"266","2013","Louth","Carlow",12
"267","2000","Westmeath","Carlow",8
"268","2001","Westmeath","Carlow",14
"269","2002","Westmeath","Carlow",8
"270","2003","Westmeath","Carlow",4
"271","2004","Westmeath","Carlow",5
"272","2005","Westmeath","Carlow",5
"273","2006","Westmeath","Carlow",6
"274","2007","Westmeath","Carlow",11
"275","2008","Westmeath","Carlow",5
"276","2009","Westmeath","Carlow",8
"277","2010","Westmeath","Carlow",8
"278","2011","Westmeath","Carlow",13
"279","2012","Westmeath","Carlow",13
"280","2013","Westmeath","Carlow",15
"281","2000","Cork","Carlow",40
"282","2001","Cork","Carlow",34
"283","2002","Cork","Carlow",32
"284","2003","Cork","Carlow",41
"285","2004","Cork","Carlow",49
"286","2005","Cork","Carlow",44
"287","2006","Cork","Carlow",40
"288","2007","Cork","Carlow",39
"289","2008","Cork","Carlow",39
"290","2009","Cork","Carlow",39
"291","2010","Cork","Carlow",42
"292","2011","Cork","Carlow",51
"293","2012","Cork","Carlow",62
"294","2013","Cork","Carlow",64
"295","2000","Kerry","Carlow",16
"296","2001","Kerry","Carlow",12
"297","2002","Kerry","Carlow",11
"298","2003","Kerry","Carlow",5
"299","2004","Kerry","Carlow",8
"300","2005","Kerry","Carlow",8
"301","2006","Kerry","Carlow",7
"302","2007","Kerry","Carlow",5
"303","2008","Kerry","Carlow",3
"304","2009","Kerry","Carlow",7
"305","2010","Kerry","Carlow",7
"306","2011","Kerry","Carlow",6
"307","2012","Kerry","Carlow",7
"308","2013","Kerry","Carlow",11
"309","2000","Limerick","Carlow",56
"310","2001","Limerick","Carlow",48
"311","2002","Limerick","Carlow",44
"312","2003","Limerick","Carlow",40
"313","2004","Limerick","Carlow",40
"314","2005","Limerick","Carlow",52
"315","2006","Limerick","Carlow",60
"316","2007","Limerick","Carlow",68
"317","2008","Limerick","Carlow",78
"318","2009","Limerick","Carlow",70
"319","2010","Limerick","Carlow",69
"320","2011","Limerick","Carlow",62
"321","2012","Limerick","Carlow",73
"322","2013","Limerick","Carlow",83
"323","2000","Tipperary","Carlow",0
"324","2001","Tipperary","Carlow",0
"325","2002","Tipperary","Carlow",1
"326","2003","Tipperary","Carlow",2
"327","2004","Tipperary","Carlow",2
"328","2005","Tipperary","Carlow",1
"329","2006","Tipperary","Carlow",1
"330","2007","Tipperary","Carlow",1
"331","2008","Tipperary","Carlow",0
"332","2009","Tipperary","Carlow",0
"333","2010","Tipperary","Carlow",3
"334","2011","Tipperary","Carlow",3
"335","2012","Tipperary","Carlow",0
"336","2013","Tipperary","Carlow",0
"337","2000","Waterford","Carlow",122
"338","2001","Waterford","Carlow",149
"339","2002","Waterford","Carlow",241
"340","2003","Waterford","Carlow",186
"341","2004","Waterford","Carlow",174
"342","2005","Waterford","Carlow",162
"343","2006","Waterford","Carlow",196
"344","2007","Waterford","Carlow",208
"345","2008","Waterford","Carlow",204
"346","2009","Waterford","Carlow",220
"347","2010","Waterford","Carlow",191
"348","2011","Waterford","Carlow",191
"349","2012","Waterford","Carlow",181
"350","2013","Waterford","Carlow",136
"351","2000","Galway","Carlow",41
"352","2001","Galway","Carlow",41
"353","2002","Galway","Carlow",36
"354","2003","Galway","Carlow",54
"355","2004","Galway","Carlow",58
"356","2005","Galway","Carlow",63
"357","2006","Galway","Carlow",67
"358","2007","Galway","Carlow",65
"359","2008","Galway","Carlow",69
"360","2009","Galway","Carlow",62
"361","2010","Galway","Carlow",74
"362","2011","Galway","Carlow",72
"363","2012","Galway","Carlow",68
"364","2013","Galway","Carlow",65
"365","2000","Sligo","Carlow",15
